品番,品名,長さ,幅,高さ,重量,数量
381708,EM0001,325,220,200,7.66,1
533334,GW0001,328,298,304,5.7,2
548391,GX0001,290,190,220,7.5,1
549133,BQ0001,359,214,173,5.5,4
550710,AU0001,355,270,170,7.32,1
550888,GY0001,350,270,170,9.1,1
550918,GZ0001,410,199,163,8.5,1
550919,EN0001,405,200,160,8.6,1
551043,DU0001,350,215,285,4.38,2
551493,HA0001,359,214,215,5.8,2
553089,A0001,520,365,400,9.3,1
553279,HB0001,300,255,210,6.9,1
554071,BU0001,325,175,210,6.5,1
554216,BV0001,316,170,211,6.54,1
554658,GJ0001,420,215,260,11.5,12
554962,AW0001,460,265,368,2.7,1
557622,HC0001,340,215,290,2.3,1
558229,EJ0001,360,335,145,7.1,1
558632,GD0001,310,255,255,1.6,1
558802,R0001,385,315,130,7.36,9
