品番,品名,長さ,幅,高さ,重量,数量
381708,EM0001,325,220,200,7.66,1
550919,EN0001,405,200,160,8.6,3
553278,EO0001,300,255,250,7.22,1
558228,EP0001,360,335,145,6.4,1
558229,EJ0001,360,335,145,7.1,2
558868,I0001,525,280,405,5.1,1
559096,EQ0001,361,215,264,7.3,1
579347,ER0001,340,330,340,16.4,1
601452,DF0001,355,210,260,7.8,1
601748,DJ0001,390,255,230,12.2,1
601868,P0001,425,270,237,12.5,1
601908,ES0001,385,310,220,9.52,1
603493,AA0001,414,240,221,8.7,21
603637,ET0001,375,190,180,4.26,1
699970,EU0001,458,314,384,3.3,1
916234,CD0001,420,270,270,15.9,1
919445,CJ0001,354,236,259,10.2,1
940106,EV0001,425,240,245,2.5,1
943868,EW0001,361,214,237,8.3,1
977715,AH0001,410,199,163,8.5,1
