品番,品名,長さ,幅,高さ,重量,数量
534736,EI0001,361,215,265,8.6,5
550919,EN0001,405,200,160,8.6,1
551043,DU0001,350,215,285,4.38,1
551477,ID0001,430,271,237,12.5,5
554289,BW0001,320,180,210,7.2,2
554811,JV0001,315,180,215,7.12,1
554962,AW0001,460,265,368,2.7,1
554964,CN0001,480,260,395,2.8,1
558812,BB0001,385,316,132,7.38,8
559648,JW0001,364,257,276,10.3,4
559832,JX0001,360,250,275,10.6,5
559972,FO0001,403,256,234,10.5,1
601868,P0001,425,270,237,12.5,5
603492,Z0001,414,240,221,8.7,1
612006,JY0001,356,217,311,8.0,1
612007,JZ0001,350,210,310,7.78,1
940234,KA0001,336,298,228,7.8,5
940425,KB0001,422,216,234,7.3,1
940724,KC0001,281,229,236,6.6,1
941241,KD0001,355,215,265,7.92,3
941371,AF0001,350,195,255,11.7,1
977715,AH0001,410,199,163,8.5,1
