品番,品名,長さ,幅,高さ,重量,数量
573397,OH0001,383,242,195,8.68,4
602350,NS0001,355,345,200,10.0,5
602352,MN0001,355,350,200,10.0,10
935248,OI0001,348,298,230,8.2,5
531158,OJ0001,284,191,228,5.4,3
536858,OK0001,310,205,195,5.3,1
538213,OL0001,320,260,140,6.8,3
538265,OM0001,333,192,204,5.6,1
538553,ON0001,274,190,149,2.1,2
544653,OO0001,344,246,150,1.6,2
545966,OP0001,370,345,190,4.92,3
552112,OQ0001,400,270,150,6.2,3
554141,OR0001,340,185,250,1.96,3
554213,OS0001,270,225,140,4.0,2
554847,OT0001,330,200,245,1.84,2
555523,OU0001,370,340,190,4.4,2
557091,OV0001,435,270,290,11.9,1
557176,OW0001,299,194,219,1.8,1
557516,OX0001,237,149,204,1.9,2
558600,OY0001,304,231,134,3.6,2
558855,OZ0001,350,230,260,9.9,3
559147,PA0001,355,215,265,7.8,1
559316,PB0001,290,220,280,8.1,1
602113,PC0001,465,265,150,2.5,1
603611,PD0001,269,251,199,7.2,3
699311,PE0001,243,150,147,0.8,3
699313,PF0001,240,150,145,0.8,3
699378,PG0001,264,161,140,1.0,1
699491,PH0001,350,200,185,5.94,4
913863,PI0001,372,222,180,4.1,3
913971,PJ0001,357,273,167,6.8,2
939985,PK0001,291,166,197,1.8,1
