BatchNo,PalletNo,Code,Weight,Length,Width,Height,Num,Color
31,371,545650,13.2,440,230,305,1,red
31,371,547119,4.6,455,310,404,3,tan
31,371,547119,4.6,455,310,404,3,tan
31,371,547119,4.6,455,310,404,3,tan
31,371,548336,2.06,275,190,150,1,blue
31,371,548385,6.46,425,250,200,1,gold
31,371,550888,9.1,350,270,170,4,navy
31,371,550888,9.1,350,270,170,4,navy
31,371,550888,9.1,350,270,170,4,navy
31,371,550888,9.1,350,270,170,4,navy
31,371,558862,4.6,545,265,360,1,plum
31,371,913990,2.1,525,266,157,1,gray
68,371,534734,8.6,350,215,265,3,black
68,371,534734,8.6,350,215,265,3,black
68,371,534734,8.6,350,215,265,3,black
68,371,534736,8.6,361,215,265,5,bisque
68,371,534736,8.6,361,215,265,5,bisque
68,371,534736,8.6,361,215,265,5,bisque
68,371,534736,8.6,361,215,265,5,bisque
68,371,534736,8.6,361,215,265,5,bisque
68,371,550919,8.6,405,200,160,2,sienna
68,371,550919,8.6,405,200,160,2,sienna
68,371,977715,8.5,410,199,163,2,yellow
68,371,977715,8.5,410,199,163,2,yellow
