BatchNo,PalletNo,Code,Weight,Length,Width,Height,Num,Color
36,122,601869,8.7,356,217,291,7,red
36,122,601869,8.7,356,217,291,7,red
36,122,601869,8.7,356,217,291,7,red
36,122,601869,8.7,356,217,291,7,red
36,122,601869,8.7,356,217,291,7,red
36,122,601869,8.7,356,217,291,7,red
36,122,601869,8.7,356,217,291,7,red
36,122,602244,5.1,540,355,380,1,tan
36,122,602789,4.8,453,363,383,2,blue
36,122,602789,4.8,453,363,383,2,blue
36,122,603492,8.7,414,240,221,1,gold
36,122,603493,8.7,414,240,221,1,navy
36,122,604417,8.8,405,235,220,1,plum
36,122,699730,8.9,410,235,220,1,gray
36,122,916236,9.4,414,240,221,1,black
36,122,940220,7.1,427,205,236,1,bisque
36,122,941371,11.7,350,195,255,1,sienna
