品番,品名,長さ,幅,高さ,重量,数量
548336,IW0001,275,190,150,2.06,2
548385,IX0001,425,250,200,6.46,2
550918,GZ0001,410,199,163,8.5,2
551477,ID0001,430,271,237,12.5,1
551493,HA0001,359,214,215,5.8,1
555576,GK0001,360,214,307,8.3,1
557673,IY0001,277,200,217,5.3,1
558229,EJ0001,360,335,145,7.1,1
558763,IZ0001,355,215,285,8.2,2
558802,R0001,385,315,130,7.36,3
558812,BB0001,385,316,132,7.38,1
559206,N0001,362,209,172,5.8,1
601452,DF0001,355,210,260,7.8,1
601458,BZ0001,355,215,305,7.9,1
601632,JA0001,350,265,245,7.4,1
601640,JB0001,350,265,245,7.4,1
601734,BH0001,423,269,275,14.2,1
601869,T0001,356,217,291,8.7,1
603491,DW0001,395,235,215,8.7,1
699788,JC0001,305,275,230,7.1,3
916236,AD0001,414,240,221,9.4,1
