品番,品名,長さ,幅,高さ,重量,数量
554963,CM0001,495,270,450,4.0,1
554964,CN0001,480,260,395,2.8,6
554965,AX0001,476,318,400,3.6,3
555549,CO0001,420,255,235,8.1,2
555923,CP0001,315,225,200,4.7,4
557460,CQ0001,495,299,201,5.4,1
557479,CR0001,495,299,199,5.4,1
557858,CS0001,448,313,186,2.8,1
557864,CT0001,408,248,364,3.0,1
557866,CU0001,478,270,400,4.74,1
558046,CV0001,330,250,180,5.5,2
558411,CW0001,320,170,210,6.6,1
558927,CX0001,415,290,390,3.82,1
558929,CY0001,420,270,410,3.56,1
558930,CZ0001,445,225,380,3.4,1
559267,DA0001,355,210,235,8.2,2
602243,DB0001,530,332,360,4.5,6
