品番,品名,長さ,幅,高さ,重量,数量
558769,BA0001,430,271,237,11.7,1
558802,R0001,385,315,130,7.36,6
558820,D0001,430,325,396,4.5,1
559096,EQ0001,361,215,264,7.3,1
559200,BY0001,395,315,260,14.5,1
559205,FT0001,425,215,305,14.0,1
559206,N0001,362,209,172,5.8,2
601449,DE0001,361,215,264,7.8,1
601452,DF0001,355,210,260,7.8,1
601458,BZ0001,355,215,305,7.9,2
601486,FU0001,300,230,210,4.6,1
601712,FV0001,400,300,230,7.8,1
601750,DK0001,398,252,264,7.5,1
602243,DB0001,530,332,360,4.5,2
602244,X0001,540,355,380,5.1,1
603342,DV0001,366,217,226,6.2,1
603493,AA0001,414,240,221,8.7,3
604420,FW0001,362,217,215,5.7,1
619070,FX0001,263,204,208,5.2,1
699438,DY0001,315,210,285,3.54,1
699970,EU0001,458,314,384,3.3,2
554915,FY0001,350,305,260,13.4,5
555356,FZ0001,315,215,205,5.24,2
555521,GA0001,370,340,190,4.4,1
555706,GB0001,410,210,220,5.42,1
557668,GC0001,425,240,170,3.8,2
558632,GD0001,310,255,255,1.6,1
558765,GE0001,555,245,265,11.6,1
558853,GF0001,306,233,200,7.6,3
558929,CY0001,420,270,410,3.56,1
559061,GG0001,287,253,276,7.9,1
559580,GH0001,385,265,180,8.6,1
573228,DC0001,290,170,180,4.34,1
601448,GI0001,405,235,220,8.2,1
601826,BJ0001,525,265,159,2.24,1
602844,BM0001,333,230,274,9.5,1
