BatchNo,PalletNo,Code,Weight,Length,Width,Height,Num,Color
6,190,601449,7.8,361,215,264,1,red
6,190,919423,10.9,350,195,255,1,tan
6,190,936559,2.7,510,280,324,1,blue
6,190,936562,2.3,445,310,185,1,gold
6,190,936565,4.1,430,310,425,1,navy
6,190,938812,3.2,349,318,339,1,plum
6,190,938813,3.3,432,238,339,1,gray
6,190,938814,3.9,426,318,365,1,black
6,190,938815,3.7,377,354,339,1,bisque
6,190,938816,2.8,480,275,340,1,sienna
6,190,941240,7.7,355,215,265,1,yellow
6,190,941370,11.7,352,198,255,1,silver
6,190,944065,8.3,361,214,237,1,fuchsia
