品番,品名,長さ,幅,高さ,重量,数量
549133,BQ0001,359,214,173,5.5,1
551019,BR0001,280,190,225,7.54,1
551492,BS0001,355,210,210,5.82,1
554070,BT0001,320,170,205,6.56,2
554071,BU0001,325,175,210,6.5,5
554216,BV0001,316,170,211,6.54,1
554289,BW0001,320,180,210,7.2,3
554809,BX0001,320,180,210,7.16,1
558820,D0001,430,325,396,4.5,1
558821,E0001,410,330,380,4.7,3
559200,BY0001,395,315,260,14.5,6
559206,N0001,362,209,172,5.8,4
601451,BF0001,355,215,305,7.8,2
601458,BZ0001,355,215,305,7.9,2
602792,CA0001,380,315,380,3.9,3
602794,CB0001,395,310,400,3.7,2
603213,CC0001,361,214,237,8.4,1
916234,CD0001,420,270,270,15.9,2
916235,CE0001,430,271,274,15.9,1
916236,AD0001,414,240,221,9.4,1
919417,CF0001,306,233,200,7.3,3
919432,CG0001,300,230,195,7.3,1
919440,CH0001,305,230,200,7.6,1
919442,CI0001,300,230,200,7.58,2
919445,CJ0001,354,236,259,10.2,1
940367,CK0001,362,209,220,6.1,1
940426,CL0001,350,210,210,5.8,1
