品番,品名,長さ,幅,高さ,重量,数量
551477,ID0001,430,271,237,12.5,1
553253,AV0001,540,340,235,2.14,1
554658,GJ0001,420,215,260,11.5,8
557904,IE0001,320,180,210,7.2,1
558229,EJ0001,360,335,145,7.1,1
558802,R0001,385,315,130,7.36,2
559100,HH0001,356,217,311,7.6,1
601450,O0001,360,215,305,7.8,2
601458,BZ0001,355,215,305,7.9,1
603493,AA0001,414,240,221,8.7,2
941259,IF0001,356,217,311,7.8,1
549133,BQ0001,359,214,173,5.5,1
550888,GY0001,350,270,170,9.1,1
554216,BV0001,316,170,211,6.54,1
554392,IG0001,320,174,210,6.54,1
554914,FM0001,458,223,302,16.05,1
554962,AW0001,460,265,368,2.7,1
554964,CN0001,480,260,395,2.8,1
555575,J0001,430,271,274,14.0,1
558228,EP0001,360,335,145,6.4,1
558812,BB0001,385,316,132,7.38,1
559206,N0001,362,209,172,5.8,1
559562,GO0001,360,210,180,5.76,1
601734,BH0001,423,269,275,14.2,2
601867,DM0001,377,338,239,10.8,7
603617,IH0001,430,271,274,14.2,4
603618,II0001,430,271,274,14.2,1
